826211376,0.006423,1268628
1166054105,0.008503,5107177
507235943,0.003591,1284619
156414957,0.015696,1161359
378463280,0.011836,1114173
286440729,0.055045,167555
610555032,0.033820,166885
108773523,0.001109,447381
564050102,0.003777,393946
176116586,0.011490,230727
769134539,0.017931,113772
144085242,0.027661,25596
1629566658,0.002000,172461
1356479089,0.036419,24136
44381285,0.001607,187276
471818212,0.016528,147085
1085145550,0.001494,256336
199675107,0.032566,43389
606018578,0.000833,160846
449336141,0.001296,307966
2405421618,0.002372,339728
438054004,0.002291,96040
696185540,0.004331,139243
12972163,0.039457,38548
240524323,0.032185,9228
749352517,0.056675,27190
319766676,0.014510,424750
78343949,0.046996,4894
2299911231,0.010411,127275
1886507380,0.123580,5988
898266380,0.147301,5947
2188074177,0.049715,24379
277714848,0.087066,4376
345385263,0.001347,352761
584737928,0.001622,326202
743888099,0.066478,43428
249339639,0.085511,15846
215361499,0.001603,159099
715598942,0.009874,27141
520129140,0.036866,39169
720877624,0.019746,42034
174593995,0.010915,66331
209461498,0.012542,44253
83622763,0.179062,17910
136350307,0.015293,95337
655221114,0.002065,520170
858140975,0.054718,74126
1062072206,0.001414,150673
787869516,0.005432,143788
193456176,0.002583,129319
339488270,0.018208,13895
950648670,0.010786,16318
2740995139,0.011572,33876
393633642,0.003732,155131
31955386,0.027161,27981
232983107,0.067981,22374
271550699,0.003579,50571
618921652,0.031153,40093
802653813,0.065010,29380
329283367,0.048548,13224
853676600,0.025387,12132
659141663,0.030765,35202
277219944,0.155477,3113
131472364,0.159447,9903
451230353,0.004078,156691
267759319,0.037179,8634
442983678,0.136225,25869
24232455,0.007755,8253
541308555,0.043660,8589
644072780,0.006390,30049
1226862474,0.012656,159606
754607858,0.017598,166496
678921152,0.003503,93360
204419390,0.007115,89671
99312532,0.025285,14475
439086368,0.013603,4999
1016575158,0.006454,82270
1493648881,0.028785,33212
9805876,0.002762,46348
215160649,0.002208,92385
784110289,0.020867,18450
676965231,0.002511,125048
130113357,0.004463,74837
657652885,0.001799,148988
2206492651,0.041750,30323
302395792,0.090863,5899
710087235,0.045832,33252
21703595,0.014676,16013
134796077,0.004143,159542
109156101,0.100448,1563
589955945,0.005250,191044
873492263,0.002230,174007
2040016595,0.001807,195331
526495399,0.008760,25000
731851070,0.018723,29909
382179757,0.007094,33549
618207000,0.017287,24700
559099508,0.248575,8770
270704659,0.008035,87247
14474665,0.050244,35586
2326085148,0.031125,11791
398182824,0.020061,47257
439228771,0.019313,54936
310212890,0.008447,21192
2970984393,0.107274,3822
366306501,0.019834,29091
203561414,0.062099,9823
1230376952,0.139535,2279
145361079,0.009842,35156
740340881,0.003554,14632
534050125,0.120726,1872
1039765632,0.067362,2494
560425602,0.153962,19992
262536800,0.020669,14176
753738323,0.030849,19644
251843001,0.013224,8167
670365599,0.013308,41029
318924908,0.011556,11769
1417463678,0.003981,30395
510833658,0.038621,14474
167294156,0.011401,71482
465201859,0.005840,28766
1878582924,0.159366,2397
65436047,0.022531,20372
283772483,0.107032,12912
514247875,0.133333,375
235997237,0.127691,29963
352261526,0.104449,4653
700690756,0.012748,7766
663986861,0.009627,39889
365709807,0.011776,20041
797556553,0.015131,2908
284948434,0.067167,4660
61801490,0.265385,2860
555341387,0.011021,4446
582484264,0.099964,5522
235293844,0.007452,73672
955165512,0.003577,29078
419690980,0.012536,29754
281340477,0.011428,23714
818425569,0.020261,15152
185878478,0.157342,3807
198088109,0.025000,57760
2218185404,0.013573,36984
989335516,0.052141,8477
345184701,0.023643,22967
420160863,0.013943,4590
9423981,0.011380,13445
387933139,0.022254,6965
165010704,0.037115,3341
984707649,0.031781,11894
661304392,0.020901,10526
572288898,0.165728,4085
861812950,0.031384,9304
